#SampleID	combined	species	bodysite	strategy	month	season
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
Vi_Lb_S2_S195	Vi_Lb_S2_S195	Vi	Lb	NDT	September	Early rainy
Vt_Dsh_J4_S252_L001	Vt_Dsh_J4_S252	Vt	Dsh	DT	June	Early dry
Vt_Dsh_J4_S252_L002	Vt_Dsh_J4_S252	Vt	Dsh	DT	June	Early dry
Vi_Lb_S3_S196	Vi_Lb_S3_S196	Vi	Lb	NDT	September	Early rainy
Vi_Lb_S4_S197	Vi_Lb_S4_S197	Vi	Lb	NDT	September	Early rainy
Vt_Dsh_A1_S265_L001	Vt_Dsh_A1_S265	Vt	Dsh	DT	August	Late dry
Vt_Dsh_A1_S265_L002	Vt_Dsh_A1_S265	Vt	Dsh	DT	August	Late dry
Vi_Lb_F1_S198	Vi_Lb_F1_S198	Vi	Lb	NDT	February	Late rainy
Vt_Dsh_A2_S182_L001	Vt_Dsh_A2_S182	Vt	Dsh	DT	August	Late dry
Vt_Dsh_A2_S182_L002	Vt_Dsh_A2_S182	Vt	Dsh	DT	August	Late dry
Vi_Lb_F2_S199	Vi_Lb_F2_S199	Vi	Lb	NDT	February	Late rainy
Vt_Dsh_A3_S190_L001	Vt_Dsh_A3_S190	Vt	Dsh	DT	August	Late dry
Vt_Dsh_A3_S190_L002	Vt_Dsh_A3_S190	Vt	Dsh	DT	August	Late dry
Vi_Lb_F3_S200	Vi_Lb_F3_S200	Vi	Lb	NDT	February	Late rainy
Vt_Dsh_A4_S198_L001	Vt_Dsh_A4_S198	Vt	Dsh	DT	August	Late dry
Vt_Dsh_A4_S198_L002	Vt_Dsh_A4_S198	Vt	Dsh	DT	August	Late dry
Vi_Lb_F4_S201	Vi_Lb_F4_S201	Vi	Lb	NDT	February	Late rainy
Vi_Lb_F5_S202	Vi_Lb_F5_S202	Vi	Lb	NDT	February	Late rainy
Vt_Dsh_A6_S213_L001	Vt_Dsh_A6_S213	Vt	Dsh	DT	August	Late dry
Vt_Dsh_A6_S213_L002	Vt_Dsh_A6_S213	Vt	Dsh	DT	August	Late dry
Vi_Lb_J1_S203	Vi_Lb_J1_S203	Vi	Lb	NDT	June	Early dry
Vi_Lb_J2_S204	Vi_Lb_J2_S204	Vi	Lb	NDT	June	Early dry
Vi_Lb_J3_S205	Vi_Lb_J3_S205	Vi	Lb	NDT	June	Early dry
Vi_Lb_J4_S206	Vi_Lb_J4_S206	Vi	Lb	NDT	June	Early dry
Vi_Lb_J5_S207	Vi_Lb_J5_S207	Vi	Lb	NDT	June	Early dry
Vi_Lb_A1_S208	Vi_Lb_A1_S208	Vi	Lb	NDT	August	Late dry
Vi_Lb_A2_S209	Vi_Lb_A2_S209	Vi	Lb	NDT	August	Late dry
Vi_Lb_A3_S210	Vi_Lb_A3_S210	Vi	Lb	NDT	August	Late dry
Vi_Lb_A4_S211	Vi_Lb_A4_S211	Vi	Lb	NDT	August	Late dry
Vi_Lb_A5_S212	Vi_Lb_A5_S212	Vi	Lb	NDT	August	Late dry
Vp_Lb_S1_S213	Vp_Lb_S1_S213	Vp	Lb	NDT	September	Early rainy
Vp_Lb_S2_S214	Vp_Lb_S2_S214	Vp	Lb	NDT	September	Early rainy
Vp_Lb_S3_S215	Vp_Lb_S3_S215	Vp	Lb	NDT	September	Early rainy
Vp_Lb_S4_S216	Vp_Lb_S4_S216	Vp	Lb	NDT	September	Early rainy
Vp_Lb_S5_S217	Vp_Lb_S5_S217	Vp	Lb	NDT	September	Early rainy
Vp_Lb_F1_S218	Vp_Lb_F1_S218	Vp	Lb	NDT	February	Late rainy
Vp_Lb_F2_S219	Vp_Lb_F2_S219	Vp	Lb	NDT	February	Late rainy
Vp_Lb_F3_S220	Vp_Lb_F3_S220	Vp	Lb	NDT	February	Late rainy
Vp_Lb_F4_S221	Vp_Lb_F4_S221	Vp	Lb	NDT	February	Late rainy
Vp_Lb_F5_S222	Vp_Lb_F5_S222	Vp	Lb	NDT	February	Late rainy
Vp_Lb_J1_S223	Vp_Lb_J1_S223	Vp	Lb	NDT	June	Early dry
Vp_Lb_J2_S224	Vp_Lb_J2_S224	Vp	Lb	NDT	June	Early dry
Vp_Lb_J3_S225	Vp_Lb_J3_S225	Vp	Lb	NDT	June	Early dry
Vt_Ar_S2_S207_L001	Vt_Ar_S2_S207	Vt	Ar	DT	September	Early rainy
Vt_Ar_S2_S207_L002	Vt_Ar_S2_S207	Vt	Ar	DT	September	Early rainy
Vp_Lb_J4_S226	Vp_Lb_J4_S226	Vp	Lb	NDT	June	Early dry
Vt_Ar_S3_S215_L001	Vt_Ar_S3_S215	Vt	Ar	DT	September	Early rainy
Vt_Ar_S3_S215_L002	Vt_Ar_S3_S215	Vt	Ar	DT	September	Early rainy
Vp_Lb_J5_S227	Vp_Lb_J5_S227	Vp	Lb	NDT	June	Early dry
Vt_Ar_S4_S223_L001	Vt_Ar_S4_S223	Vt	Ar	DT	September	Early rainy
Vt_Ar_S4_S223_L002	Vt_Ar_S4_S223	Vt	Ar	DT	September	Early rainy
Vp_Lb_A1_S228	Vp_Lb_A1_S228	Vp	Lb	NDT	August	Late dry
Vt_Ar_S5_S231_L001	Vt_Ar_S5_S231	Vt	Ar	DT	September	Early rainy
Vt_Ar_S5_S231_L002	Vt_Ar_S5_S231	Vt	Ar	DT	September	Early rainy
Vp_Lb_A2_S229	Vp_Lb_A2_S229	Vp	Lb	NDT	August	Late dry
Vt_Ar_F1_S239_L001	Vt_Ar_F1_S239	Vt	Ar	DT	February	Late rainy
Vt_Ar_F1_S239_L002	Vt_Ar_F1_S239	Vt	Ar	DT	February	Late rainy
Vp_Lb_A3_S230	Vp_Lb_A3_S230	Vp	Lb	NDT	August	Late dry
Vt_Ar_F2_S247_L001	Vt_Ar_F2_S247	Vt	Ar	DT	February	Late rainy
Vt_Ar_F2_S247_L002	Vt_Ar_F2_S247	Vt	Ar	DT	February	Late rainy
Vp_Lb_A4_S231	Vp_Lb_A4_S231	Vp	Lb	NDT	August	Late dry
Vt_Ar_F3_S255_L001	Vt_Ar_F3_S255	Vt	Ar	DT	February	Late rainy
Vt_Ar_F3_S255_L002	Vt_Ar_F3_S255	Vt	Ar	DT	February	Late rainy
Vp_Lb_A5_S232	Vp_Lb_A5_S232	Vp	Lb	NDT	August	Late dry
Vt_Ar_F4_S261_L001	Vt_Ar_F4_S261	Vt	Ar	DT	February	Late rainy
Vt_Ar_F4_S261_L002	Vt_Ar_F4_S261	Vt	Ar	DT	February	Late rainy
Vt_Ar_F5_S268_L001	Vt_Ar_F5_S268	Vt	Ar	DT	February	Late rainy
Vt_Ar_F5_S268_L002	Vt_Ar_F5_S268	Vt	Ar	DT	February	Late rainy
Vt_Ar_J1_S185_L001	Vt_Ar_J1_S185	Vt	Ar	DT	June	Early dry
Vt_Ar_J1_S185_L002	Vt_Ar_J1_S185	Vt	Ar	DT	June	Early dry
Vt_Ar_J2_S193_L001	Vt_Ar_J2_S193	Vt	Ar	DT	June	Early dry
Vt_Ar_J2_S193_L002	Vt_Ar_J2_S193	Vt	Ar	DT	June	Early dry
Vt_Ar_J4_S208_L001	Vt_Ar_J4_S208	Vt	Ar	DT	June	Early dry
Vt_Ar_J4_S208_L002	Vt_Ar_J4_S208	Vt	Ar	DT	June	Early dry
Vt_Ar_J5_S216_L001	Vt_Ar_J5_S216	Vt	Ar	DT	June	Early dry
Vt_Ar_J5_S216_L002	Vt_Ar_J5_S216	Vt	Ar	DT	June	Early dry
Vt_Ar_A1_S224_L001	Vt_Ar_A1_S224	Vt	Ar	DT	August	Late dry
Vt_Ar_A1_S224_L002	Vt_Ar_A1_S224	Vt	Ar	DT	August	Late dry
Vt_Ar_A2_S232_L001	Vt_Ar_A2_S232	Vt	Ar	DT	August	Late dry
Vt_Ar_A2_S232_L002	Vt_Ar_A2_S232	Vt	Ar	DT	August	Late dry
Vt_Ar_A3_S240_L001	Vt_Ar_A3_S240	Vt	Ar	DT	August	Late dry
Vt_Ar_A3_S240_L002	Vt_Ar_A3_S240	Vt	Ar	DT	August	Late dry
Vt_Ar_A4_S248_L001	Vt_Ar_A4_S248	Vt	Ar	DT	August	Late dry
Vt_Ar_A4_S248_L002	Vt_Ar_A4_S248	Vt	Ar	DT	August	Late dry
Vt_Ar_A5_S256_L001	Vt_Ar_A5_S256	Vt	Ar	DT	August	Late dry
Vt_Ar_A5_S256_L002	Vt_Ar_A5_S256	Vt	Ar	DT	August	Late dry
Vt_Ar_A6_S262_L001	Vt_Ar_A6_S262	Vt	Ar	DT	August	Late dry
Vt_Ar_A6_S262_L002	Vt_Ar_A6_S262	Vt	Ar	DT	August	Late dry
Vi_Dsh_S1_S71_L001	Vi_Dsh_S1_S71	Vi	Dsh	NDT	September	Early rainy
Vi_Dsh_S1_S71_L002	Vi_Dsh_S1_S71	Vi	Dsh	NDT	September	Early rainy
Vi_Dsh_S2_S79_L001	Vi_Dsh_S2_S79	Vi	Dsh	NDT	September	Early rainy
Vi_Dsh_S2_S79_L002	Vi_Dsh_S2_S79	Vi	Dsh	NDT	September	Early rainy
Vi_Dsh_S4_S86_L001	Vi_Dsh_S4_S86	Vi	Dsh	NDT	September	Early rainy
Vi_Dsh_S4_S86_L002	Vi_Dsh_S4_S86	Vi	Dsh	NDT	September	Early rainy
Vi_Dsh_F2_S5_L001	Vi_Dsh_F2_S5	Vi	Dsh	NDT	February	Late rainy
Vi_Dsh_F2_S5_L002	Vi_Dsh_F2_S5	Vi	Dsh	NDT	February	Late rainy
Vi_Dsh_F4_S19_L001	Vi_Dsh_F4_S19	Vi	Dsh	NDT	February	Late rainy
Vi_Dsh_F4_S19_L002	Vi_Dsh_F4_S19	Vi	Dsh	NDT	February	Late rainy
Vi_Dsh_F5_S27_L001	Vi_Dsh_F5_S27	Vi	Dsh	NDT	February	Late rainy
Vi_Dsh_F5_S27_L002	Vi_Dsh_F5_S27	Vi	Dsh	NDT	February	Late rainy
Vi_Dsh_J1_S35_L001	Vi_Dsh_J1_S35	Vi	Dsh	NDT	June	Early dry
Vi_Dsh_J1_S35_L002	Vi_Dsh_J1_S35	Vi	Dsh	NDT	June	Early dry
Vi_Dsh_J2_S43_L001	Vi_Dsh_J2_S43	Vi	Dsh	NDT	June	Early dry
Vi_Dsh_J2_S43_L002	Vi_Dsh_J2_S43	Vi	Dsh	NDT	June	Early dry
Vi_Dsh_J3_S51_L001	Vi_Dsh_J3_S51	Vi	Dsh	NDT	June	Early dry
Vi_Dsh_J3_S51_L002	Vi_Dsh_J3_S51	Vi	Dsh	NDT	June	Early dry
Vi_Dsh_J4_S58_L001	Vi_Dsh_J4_S58	Vi	Dsh	NDT	June	Early dry
Vi_Dsh_J4_S58_L002	Vi_Dsh_J4_S58	Vi	Dsh	NDT	June	Early dry
Vi_Dsh_A1_S72_L001	Vi_Dsh_A1_S72	Vi	Dsh	NDT	August	Late dry
Vi_Dsh_A1_S72_L002	Vi_Dsh_A1_S72	Vi	Dsh	NDT	August	Late dry
Vi_Dsh_A2_S80_L001	Vi_Dsh_A2_S80	Vi	Dsh	NDT	August	Late dry
Vi_Dsh_A2_S80_L002	Vi_Dsh_A2_S80	Vi	Dsh	NDT	August	Late dry
Vi_Dsh_A3_S87_L001	Vi_Dsh_A3_S87	Vi	Dsh	NDT	August	Late dry
Vi_Dsh_A3_S87_L002	Vi_Dsh_A3_S87	Vi	Dsh	NDT	August	Late dry
Vi_Dsh_A4_S6_L001	Vi_Dsh_A4_S6	Vi	Dsh	NDT	August	Late dry
Vi_Dsh_A4_S6_L002	Vi_Dsh_A4_S6	Vi	Dsh	NDT	August	Late dry
Vi_Ar_S1_S74_L001	Vi_Ar_S1_S74	Vi	Ar	NDT	September	Early rainy
Vi_Ar_S1_S74_L002	Vi_Ar_S1_S74	Vi	Ar	NDT	September	Early rainy
Vi_Ar_S2_S81_L001	Vi_Ar_S2_S81	Vi	Ar	NDT	September	Early rainy
Vi_Ar_S2_S81_L002	Vi_Ar_S2_S81	Vi	Ar	NDT	September	Early rainy
Vi_Ar_S3_S89_L001	Vi_Ar_S3_S89	Vi	Ar	NDT	September	Early rainy
Vi_Ar_S3_S89_L002	Vi_Ar_S3_S89	Vi	Ar	NDT	September	Early rainy
Vi_Ar_S4_S8_L001	Vi_Ar_S4_S8	Vi	Ar	NDT	September	Early rainy
Vi_Ar_S4_S8_L002	Vi_Ar_S4_S8	Vi	Ar	NDT	September	Early rainy
Vi_Ar_F1_S14_L001	Vi_Ar_F1_S14	Vi	Ar	NDT	February	Late rainy
Vi_Ar_F1_S14_L002	Vi_Ar_F1_S14	Vi	Ar	NDT	February	Late rainy
Vi_Ar_F2_S22_L001	Vi_Ar_F2_S22	Vi	Ar	NDT	February	Late rainy
Vi_Ar_F2_S22_L002	Vi_Ar_F2_S22	Vi	Ar	NDT	February	Late rainy
Vi_Ar_F3_S30_L001	Vi_Ar_F3_S30	Vi	Ar	NDT	February	Late rainy
Vi_Ar_F3_S30_L002	Vi_Ar_F3_S30	Vi	Ar	NDT	February	Late rainy
Vi_Ar_F4_S38_L001	Vi_Ar_F4_S38	Vi	Ar	NDT	February	Late rainy
Vi_Ar_F4_S38_L002	Vi_Ar_F4_S38	Vi	Ar	NDT	February	Late rainy
Vi_Ar_F5_S46_L001	Vi_Ar_F5_S46	Vi	Ar	NDT	February	Late rainy
Vi_Ar_F5_S46_L002	Vi_Ar_F5_S46	Vi	Ar	NDT	February	Late rainy
Vi_Ar_J1_S75_L001	Vi_Ar_J1_S75	Vi	Ar	NDT	June	Early dry
Vi_Ar_J1_S75_L002	Vi_Ar_J1_S75	Vi	Ar	NDT	June	Early dry
Vi_Ar_J2_S82_L001	Vi_Ar_J2_S82	Vi	Ar	NDT	June	Early dry
Vi_Ar_J2_S82_L002	Vi_Ar_J2_S82	Vi	Ar	NDT	June	Early dry
Vi_Ar_J3_S90_L001	Vi_Ar_J3_S90	Vi	Ar	NDT	June	Early dry
Vi_Ar_J3_S90_L002	Vi_Ar_J3_S90	Vi	Ar	NDT	June	Early dry
Vi_Ar_J4_S91_L001	Vi_Ar_J4_S91	Vi	Ar	NDT	June	Early dry
Vi_Ar_J4_S91_L002	Vi_Ar_J4_S91	Vi	Ar	NDT	June	Early dry
Vi_Ar_J5_S99_L001	Vi_Ar_J5_S99	Vi	Ar	NDT	June	Early dry
Vi_Ar_J5_S99_L002	Vi_Ar_J5_S99	Vi	Ar	NDT	June	Early dry
Vi_Ar_A1_S107_L001	Vi_Ar_A1_S107	Vi	Ar	NDT	August	Late dry
Vi_Ar_A1_S107_L002	Vi_Ar_A1_S107	Vi	Ar	NDT	August	Late dry
Vi_Ar_A2_S115_L001	Vi_Ar_A2_S115	Vi	Ar	NDT	August	Late dry
Vi_Ar_A2_S115_L002	Vi_Ar_A2_S115	Vi	Ar	NDT	August	Late dry
Vi_Ar_A3_S123_L001	Vi_Ar_A3_S123	Vi	Ar	NDT	August	Late dry
Vi_Ar_A3_S123_L002	Vi_Ar_A3_S123	Vi	Ar	NDT	August	Late dry
Vi_Ar_A5_S134_L001	Vi_Ar_A5_S134	Vi	Ar	NDT	August	Late dry
Vi_Ar_A5_S134_L002	Vi_Ar_A5_S134	Vi	Ar	NDT	August	Late dry
Vp_Dsh_S1_S106_L001	Vp_Dsh_S1_S106	Vp	Dsh	NDT	September	Early rainy
Vp_Dsh_S1_S106_L002	Vp_Dsh_S1_S106	Vp	Dsh	NDT	September	Early rainy
Vp_Dsh_F1_S141_L001	Vp_Dsh_F1_S141	Vp	Dsh	NDT	February	Late rainy
Vp_Dsh_F1_S141_L002	Vp_Dsh_F1_S141	Vp	Dsh	NDT	February	Late rainy
Vp_Dsh_F2_S149_L001	Vp_Dsh_F2_S149	Vp	Dsh	NDT	February	Late rainy
Vp_Dsh_F2_S149_L002	Vp_Dsh_F2_S149	Vp	Dsh	NDT	February	Late rainy
Vp_Dsh_F3_S157_L001	Vp_Dsh_F3_S157	Vp	Dsh	NDT	February	Late rainy
Vp_Dsh_F3_S157_L002	Vp_Dsh_F3_S157	Vp	Dsh	NDT	February	Late rainy
Vp_Dsh_F4_S179_L001	Vp_Dsh_F4_S179	Vp	Dsh	NDT	February	Late rainy
Vp_Dsh_F4_S179_L002	Vp_Dsh_F4_S179	Vp	Dsh	NDT	February	Late rainy
Vp_Dsh_F5_S187_L001	Vp_Dsh_F5_S187	Vp	Dsh	NDT	February	Late rainy
Vp_Dsh_F5_S187_L002	Vp_Dsh_F5_S187	Vp	Dsh	NDT	February	Late rainy
Vp_Dsh_J1_S195_L001	Vp_Dsh_J1_S195	Vp	Dsh	NDT	June	Early dry
Vp_Dsh_J1_S195_L002	Vp_Dsh_J1_S195	Vp	Dsh	NDT	June	Early dry
Vp_Dsh_J2_S203_L001	Vp_Dsh_J2_S203	Vp	Dsh	NDT	June	Early dry
Vp_Dsh_J2_S203_L002	Vp_Dsh_J2_S203	Vp	Dsh	NDT	June	Early dry
Vp_Dsh_J3_S211_L001	Vp_Dsh_J3_S211	Vp	Dsh	NDT	June	Early dry
Vp_Dsh_J3_S211_L002	Vp_Dsh_J3_S211	Vp	Dsh	NDT	June	Early dry
Vp_Dsh_J4_S219_L001	Vp_Dsh_J4_S219	Vp	Dsh	NDT	June	Early dry
Vp_Dsh_J4_S219_L002	Vp_Dsh_J4_S219	Vp	Dsh	NDT	June	Early dry
Vp_Dsh_J5_S227_L001	Vp_Dsh_J5_S227	Vp	Dsh	NDT	June	Early dry
Vp_Dsh_J5_S227_L002	Vp_Dsh_J5_S227	Vp	Dsh	NDT	June	Early dry
Vp_Dsh_A1_S235_L001	Vp_Dsh_A1_S235	Vp	Dsh	NDT	August	Late dry
Vp_Dsh_A1_S235_L002	Vp_Dsh_A1_S235	Vp	Dsh	NDT	August	Late dry
Vp_Dsh_A2_S243_L001	Vp_Dsh_A2_S243	Vp	Dsh	NDT	August	Late dry
Vp_Dsh_A2_S243_L002	Vp_Dsh_A2_S243	Vp	Dsh	NDT	August	Late dry
Vp_Dsh_A3_S250_L001	Vp_Dsh_A3_S250	Vp	Dsh	NDT	August	Late dry
Vp_Dsh_A3_S250_L002	Vp_Dsh_A3_S250	Vp	Dsh	NDT	August	Late dry
Vp_Dsh_A4_S257_L001	Vp_Dsh_A4_S257	Vp	Dsh	NDT	August	Late dry
Vp_Dsh_A4_S257_L002	Vp_Dsh_A4_S257	Vp	Dsh	NDT	August	Late dry
Vp_Dsh_A5_S264_L001	Vp_Dsh_A5_S264	Vp	Dsh	NDT	August	Late dry
Vp_Dsh_A5_S264_L002	Vp_Dsh_A5_S264	Vp	Dsh	NDT	August	Late dry
Vp_Ar_S1_S245_L001	Vp_Ar_S1_S245	Vp	Ar	NDT	September	Early rainy
Vp_Ar_S1_S245_L002	Vp_Ar_S1_S245	Vp	Ar	NDT	September	Early rainy
Vp_Ar_S2_S252_L001	Vp_Ar_S2_S252	Vp	Ar	NDT	September	Early rainy
Vp_Ar_S2_S252_L002	Vp_Ar_S2_S252	Vp	Ar	NDT	September	Early rainy
Vp_Ar_S3_S259_L001	Vp_Ar_S3_S259	Vp	Ar	NDT	September	Early rainy
Vp_Ar_S3_S259_L002	Vp_Ar_S3_S259	Vp	Ar	NDT	September	Early rainy
Vp_Ar_S4_S266_L001	Vp_Ar_S4_S266	Vp	Ar	NDT	September	Early rainy
Vp_Ar_S4_S266_L002	Vp_Ar_S4_S266	Vp	Ar	NDT	September	Early rainy
Vp_Ar_S5_S182_L001	Vp_Ar_S5_S182	Vp	Ar	NDT	September	Early rainy
Vp_Ar_S5_S182_L002	Vp_Ar_S5_S182	Vp	Ar	NDT	September	Early rainy
Vp_Ar_F1_S190_L001	Vp_Ar_F1_S190	Vp	Ar	NDT	February	Late rainy
Vp_Ar_F1_S190_L002	Vp_Ar_F1_S190	Vp	Ar	NDT	February	Late rainy
Vp_Ar_F2_S198_L001	Vp_Ar_F2_S198	Vp	Ar	NDT	February	Late rainy
Vp_Ar_F2_S198_L002	Vp_Ar_F2_S198	Vp	Ar	NDT	February	Late rainy
Vp_Ar_F3_S206_L001	Vp_Ar_F3_S206	Vp	Ar	NDT	February	Late rainy
Vp_Ar_F3_S206_L002	Vp_Ar_F3_S206	Vp	Ar	NDT	February	Late rainy
Vp_Ar_F4_S214_L001	Vp_Ar_F4_S214	Vp	Ar	NDT	February	Late rainy
Vp_Ar_F4_S214_L002	Vp_Ar_F4_S214	Vp	Ar	NDT	February	Late rainy
Vp_Ar_F5_S222_L001	Vp_Ar_F5_S222	Vp	Ar	NDT	February	Late rainy
Vp_Ar_F5_S222_L002	Vp_Ar_F5_S222	Vp	Ar	NDT	February	Late rainy
Vp_Ar_J1_S230_L001	Vp_Ar_J1_S230	Vp	Ar	NDT	June	Early dry
Vp_Ar_J1_S230_L002	Vp_Ar_J1_S230	Vp	Ar	NDT	June	Early dry
Vp_Ar_J2_S238_L001	Vp_Ar_J2_S238	Vp	Ar	NDT	June	Early dry
Vp_Ar_J2_S238_L002	Vp_Ar_J2_S238	Vp	Ar	NDT	June	Early dry
Vp_Ar_J3_S246_L001	Vp_Ar_J3_S246	Vp	Ar	NDT	June	Early dry
Vp_Ar_J3_S246_L002	Vp_Ar_J3_S246	Vp	Ar	NDT	June	Early dry
Vp_Ar_J4_S253_L001	Vp_Ar_J4_S253	Vp	Ar	NDT	June	Early dry
Vp_Ar_J4_S253_L002	Vp_Ar_J4_S253	Vp	Ar	NDT	June	Early dry
Vp_Ar_J5_S260_L001	Vp_Ar_J5_S260	Vp	Ar	NDT	June	Early dry
Vp_Ar_J5_S260_L002	Vp_Ar_J5_S260	Vp	Ar	NDT	June	Early dry
Vp_Ar_A1_S267_L001	Vp_Ar_A1_S267	Vp	Ar	NDT	August	Late dry
Vp_Ar_A1_S267_L002	Vp_Ar_A1_S267	Vp	Ar	NDT	August	Late dry
Vp_Ar_A2_S183_L001	Vp_Ar_A2_S183	Vp	Ar	NDT	August	Late dry
Vp_Ar_A2_S183_L002	Vp_Ar_A2_S183	Vp	Ar	NDT	August	Late dry
Vp_Ar_A3_S191_L001	Vp_Ar_A3_S191	Vp	Ar	NDT	August	Late dry
Vp_Ar_A3_S191_L002	Vp_Ar_A3_S191	Vp	Ar	NDT	August	Late dry
Vp_Ar_A4_S199_L001	Vp_Ar_A4_S199	Vp	Ar	NDT	August	Late dry
Vp_Ar_A4_S199_L002	Vp_Ar_A4_S199	Vp	Ar	NDT	August	Late dry
Vp_Ar_A5_S207_L001	Vp_Ar_A5_S207	Vp	Ar	NDT	August	Late dry
Vp_Ar_A5_S207_L002	Vp_Ar_A5_S207	Vp	Ar	NDT	August	Late dry
