asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
asv00001	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	LWQ8	uncultured_bacterium
asv00002	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter	uncultured_bacterium
asv00003	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unclassified
asv00004	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	uncultured	unclassified
asv00005	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	uncultured_bacterium
asv00006	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	uncultured_bacterium
asv00007	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	cvE6	uncultured_bacterium
asv00008	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	unclassified
asv00009	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	FCPS473	uncultured_Ktedobacteria
asv00010	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	unclassified
asv00011	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Levybacteria	Candidatus_Levybacteria	Candidatus_Levybacteria	uncultured_bacterium
asv00012	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	unclassified
asv00013	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	unclassified
asv00014	Bacteria	Elusimicrobiota	Lineage_IIa	Lineage_IIa	Lineage_IIa	Lineage_IIa	unclassified
asv00015	Bacteria	Elusimicrobiota	Lineage_IIa	Lineage_IIa	Lineage_IIa	Lineage_IIa	uncultured_bacterium
asv00016	Bacteria	Proteobacteria	Gammaproteobacteria	JG36-TzT-191	JG36-TzT-191	JG36-TzT-191	uncultured_bacterium
asv00017	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	unclassified
asv00018	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured	uncultured_forest
asv00019	Bacteria	Chloroflexi	Anaerolineae	SBR1031	unclassified	unclassified	unclassified
asv00020	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
asv00021	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	unclassified	unclassified
asv00022	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	uncultured	uncultured_bacterium
asv00023	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	uncultured_Ktedobacteria
asv00024	Bacteria	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	uncultured_Caldilinea
asv00025	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae	uncultured_bacterium
asv00026	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	unclassified	unclassified
asv00027	Bacteria	Myxococcota	Myxococcia	Myxococcales	unclassified	unclassified	unclassified
asv00028	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	unclassified
asv00029	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	unclassified
asv00030	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	uncultured_Clostridiales
asv00031	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	uncultured_Chloroflexi
asv00032	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	KD3-10	uncultured_bacterium
asv00033	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	unclassified
asv00034	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	unclassified	unclassified
asv00035	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	unclassified
asv00036	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydiaceae	uncultured_Chlamydiales
asv00037	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	uncultured_bacterium
asv00038	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Telmatospirillum	unclassified
asv00039	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	unclassified
asv00040	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	unclassified
asv00041	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	uncultured_bacterium
asv00042	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	uncultured	uncultured_bacterium
asv00043	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	uncultured	unclassified
asv00044	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	Babeliaceae	uncultured_bacterium
asv00045	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	unclassified
asv00046	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Thermosporothrix	uncultured_bacterium
asv00047	Bacteria	Dependentiae	Babeliae	Babeliales	unclassified	unclassified	unclassified
asv00048	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	unclassified	unclassified	unclassified
asv00049	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	unclassified	unclassified	unclassified
asv00050	Bacteria	WPS-2	WPS-2	WPS-2	WPS-2	WPS-2	uncultured_bacterium
asv00051	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured	uncultured_bacterium
asv00052	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	unclassified
asv00053	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	unclassified	unclassified	unclassified
asv00054	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	unclassified
asv00055	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia	metagenome
asv00056	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	unclassified
asv00057	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_2	Subgroup_2	Subgroup_2	uncultured_forest
asv00058	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_13	Subgroup_13	Subgroup_13	unclassified
asv00059	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	unclassified
asv00060	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	uncultured_Syntrophobacteraceae
asv00061	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	unclassified	unclassified
asv00062	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	Planctomycetales_bacterium
asv00063	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	bacterium_enrichment
asv00064	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	unclassified
asv00065	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1921-2	uncultured_bacterium
asv00066	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	unclassified
asv00067	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured	unclassified
asv00068	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Endonucleariobacter	unclassified
asv00069	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	uncultured_bacterium
asv00070	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	unclassified
asv00071	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured	unclassified
asv00072	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	metagenome
asv00073	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	unclassified
asv00074	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	unclassified	unclassified
asv00075	Bacteria	Firmicutes	Bacilli	Entomoplasmatales	type_III	type_III	uncultured_Mollicutes
asv00076	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	uncultured_bacterium
asv00077	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales	Babeliales	uncultured_bacterium
asv00078	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	Aciditerrimonas_sp.
asv00079	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	uncultured_Thermomonosporaceae
asv00080	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	uncultured	metagenome
asv00081	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	CWT_CU03-E12	CWT_CU03-E12	unclassified
asv00082	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella	unclassified
asv00083	Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	Clostridia_UCG-014	Clostridia_UCG-014	unclassified
asv00084	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	unclassified	unclassified
asv00085	Bacteria	Chloroflexi	Anaerolineae	unclassified	unclassified	unclassified	unclassified
asv00086	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	uncultured_bacterium
asv00087	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	unclassified
asv00088	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified
asv00089	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_13	Subgroup_13	Subgroup_13	uncultured_bacterium
asv00090	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	unclassified
asv00091	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	unclassified
asv00092	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	uncultured_Holophaga
asv00093	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Methylobacterium_komagatae
asv00094	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured	uncultured_soil
asv00095	Bacteria	Cyanobacteria	Vampirivibrionia	Vampirovibrionales	Vampirovibrionales	Vampirovibrionales	uncultured_bacterium
asv00096	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Singulisphaera	unclassified
asv00097	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	metagenome
asv00098	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	unclassified	unclassified	unclassified
asv00099	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured	unclassified
asv00100	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	unclassified
asv00101	Bacteria	WPS-2	WPS-2	WPS-2	WPS-2	WPS-2	unclassified
asv00102	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_bacterium
asv00103	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1	uncultured_bacterium
asv00104	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified	unclassified
asv00105	Bacteria	Actinobacteriota	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica	unclassified
asv00106	Bacteria	Elusimicrobiota	Lineage_IIb	Lineage_IIb	Lineage_IIb	Lineage_IIb	uncultured_bacterium
asv00107	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	unclassified	unclassified
asv00108	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	unclassified
asv00109	Bacteria	Firmicutes	Bacilli	unclassified	unclassified	unclassified	unclassified
asv00110	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured	unclassified
asv00111	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	unclassified
asv00112	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	uncultured	uncultured_Candidatus
asv00113	Bacteria	Acidobacteriota	Subgroup_5	Subgroup_5	Subgroup_5	Subgroup_5	uncultured_bacterium
asv00114	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera	unclassified
asv00115	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae	unclassified
asv00116	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium
asv00117	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae	unclassified
asv00118	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	uncultured_Holophaga
asv00119	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	uncultured_Gemmatimonadetes
asv00120	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_bacterium
asv00121	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified
asv00122	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	uncultured_Ktedonobacterales
asv00123	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	unclassified	unclassified
asv00124	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	unclassified
asv00125	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Silvanigrella	uncultured_bacterium
asv00126	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Ovatusbacter	uncultured_bacterium
asv00127	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	uncultured_Eubacteriaceae
asv00128	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	FCPS473	uncultured_bacterium
asv00129	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Obscuribacteraceae	uncultured_bacterium
asv00130	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	Kapabacteriales	Kapabacteriales	uncultured_bacterium
asv00131	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured	unclassified
asv00132	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	uncultured	unclassified
asv00133	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_2	Subgroup_2	Subgroup_2	unclassified
asv00134	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	unclassified
asv00135	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	unclassified
asv00136	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	uncultured_soil
asv00137	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	unclassified
asv00138	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Unknown_Family	uncultured_bacterium
asv00139	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	unclassified
asv00140	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	Thermomonosporaceae_bacterium
asv00141	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Adlerbacteria	Candidatus_Adlerbacteria	Candidatus_Adlerbacteria	unclassified
asv00142	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	metagenome
asv00143	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	uncultured	uncultured_bacterium
asv00144	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	uncultured	uncultured_Bacteroidetes
asv00145	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	uncultured_forest
asv00146	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	uncultured_bacterium
asv00147	Bacteria	Actinobacteriota	Acidimicrobiia	unclassified	unclassified	unclassified	unclassified
asv00148	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_2	Subgroup_2	Subgroup_2	uncultured_Holophaga
asv00149	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Berkiella	uncultured_bacterium
asv00150	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	unclassified	unclassified
asv00151	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured	Rickettsiella_sp.
asv00152	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	uncultured_bacterium
asv00153	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	uncultured_bacterium
asv00154	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriia	Cyanobacteriia	Cyanobacteriia	Rhabdogloea_smithii
asv00155	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB_OF53-F07	uncultured_bacterium
asv00156	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1959-1	uncultured_bacterium
asv00157	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured	uncultured_bacterium
asv00158	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Occallatibacter	unclassified
asv00159	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured	unclassified
asv00160	Bacteria	Chloroflexi	unclassified	unclassified	unclassified	unclassified	unclassified
asv00161	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae	uncultured_bacterium
asv00162	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	uncultured_bacterium
asv00163	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1921-3	unclassified
asv00164	Bacteria	Planctomycetota	BD7-11	BD7-11	BD7-11	BD7-11	uncultured_bacterium
asv00165	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	unclassified
asv00166	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	JG30-KF-AS9	uncultured_bacterium
asv00167	Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	uncultured_Termite
asv00168	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage_IV	Lineage_IV	Lineage_IV	uncultured_bacterium
asv00169	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	uncultured_Armatimonadetes
asv00170	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Candidatus_Nostocoida	unclassified
asv00171	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	LWQ8	unclassified
asv00172	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	unclassified
asv00173	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	unclassified
asv00174	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	unclassified
asv00175	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	unclassified
asv00176	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Minicystis	unclassified
asv00177	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Termite_Treponema_cluster	unclassified
asv00178	Bacteria	Actinobacteriota	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica	Actinospica_sp.
asv00179	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophales	Omnitrophales	uncultured_planctomycete
asv00180	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	FCPS473	unclassified
asv00181	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	Babeliaceae	unclassified
asv00182	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	unclassified
asv00183	Bacteria	Patescibacteria	unclassified	unclassified	unclassified	unclassified	unclassified
asv00184	Archaea	Crenarchaeota	Nitrososphaeria	Group_1.1c	Group_1.1c	Group_1.1c	uncultured_archaeon
asv00185	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia	unclassified
asv00186	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	uncultured_bacterium
asv00187	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	FCPS473	uncultured_Thermosporothrix
asv00188	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus_Xiphinematobacter	unclassified
asv00189	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	unclassified
asv00190	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	unclassified
asv00191	Bacteria	Myxococcota	Polyangia	Blfdi19	Blfdi19	Blfdi19	uncultured_Firmicutes
asv00192	Bacteria	Elusimicrobiota	Elusimicrobiota	Elusimicrobiota	Elusimicrobiota	Elusimicrobiota	uncultured_Acidobacteria
asv00193	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	uncultured	uncultured_Rhodospirillaceae
asv00194	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	cvE6	unclassified
asv00195	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	unclassified
asv00196	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	uncultured_Thermosporothrix
asv00197	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	uncultured	uncultured_bacterium
asv00198	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	unclassified	unclassified
asv00199	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Criblamydiaceae	Criblamydiaceae	uncultured_organism
asv00200	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Adlerbacteria	Candidatus_Adlerbacteria	Candidatus_Adlerbacteria	uncultured_bacterium
asv00201	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	BacC-u-018	unclassified
asv00202	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	uncultured_Acetobacteraceae
asv00203	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	uncultured_bacterium
asv00204	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	unclassified
asv00205	Bacteria	Proteobacteria	Alphaproteobacteria	Zavarziniales	uncultured	uncultured	uncultured_Alphaproteobacteria
asv00206	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	unclassified
asv00207	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1921-2	unclassified
asv00208	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	unclassified	unclassified	unclassified
asv00209	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_shahii
asv00210	Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia	Sericytochromatia	Sericytochromatia	uncultured_bacterium
asv00211	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	unclassified	unclassified
asv00212	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	unclassified	unclassified
asv00213	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured	unclassified
asv00214	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	unclassified
asv00215	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Pasteuria	uncultured_bacterium
asv00216	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	unclassified	unclassified	unclassified
asv00217	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	unclassified
asv00218	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	uncultured_bacterium
asv00219	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	unclassified
asv00220	Bacteria	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	unclassified	unclassified
asv00221	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	uncultured_forest
asv00222	Bacteria	Verrucomicrobiota	Verrucomicrobiae	S-BQ2-57_soil_group	S-BQ2-57_soil_group	S-BQ2-57_soil_group	unclassified
asv00223	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage_IV	Lineage_IV	Lineage_IV	uncultured_soil
asv00224	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	unclassified
asv00225	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	uncultured	uncultured_bacterium
