sample	species	bodysite	strategy	season	replic
Vn_Ar_F1_S15	Vn	Ar	DT	Late Rainy	Vn_Ar_F
Vt_Ur_F5_S86	Vt	Ur	DT	Late Rainy	Vt_Ur_F
Vn_Ar_F2_S23	Vn	Ar	DT	Late Rainy	Vn_Ar_F
Vt_Ur_J1_S87	Vt	Ur	DT	Early Dry	Vt_Ur_J
Vn_Ar_F3_S31	Vn	Ar	DT	Late Rainy	Vn_Ar_F
Vt_Ur_J2_S88	Vt	Ur	DT	Early Dry	Vt_Ur_J
Vn_Ar_F4_S39	Vn	Ar	DT	Late Rainy	Vn_Ar_F
Vt_Ur_J3_S89	Vt	Ur	DT	Early Dry	Vt_Ur_J
Vn_Ar_F5_S47	Vn	Ar	DT	Late Rainy	Vn_Ar_F
Vt_Ur_J4_S90	Vt	Ur	DT	Early Dry	Vt_Ur_J
Vn_Ar_J1_S55	Vn	Ar	DT	Early Dry	Vn_Ar_J
Vt_Ur_J5_S91	Vt	Ur	DT	Early Dry	Vt_Ur_J
Vn_Ar_J2_S63	Vn	Ar	DT	Early Dry	Vn_Ar_J
Vt_Ur_A1_S92	Vt	Ur	DT	Late Dry	Vt_Ur_A
Vn_Ar_J3_S71	Vn	Ar	DT	Early Dry	Vn_Ar_J
Vt_Ur_A2_S93	Vt	Ur	DT	Late Dry	Vt_Ur_A
Vn_Ar_J4_S93	Vn	Ar	DT	Early Dry	Vn_Ar_J
Vt_Ur_A3_S94	Vt	Ur	DT	Late Dry	Vt_Ur_A
Vn_Ar_J5_S101	Vn	Ar	DT	Early Dry	Vn_Ar_J
Vt_Ur_A4_S95	Vt	Ur	DT	Late Dry	Vt_Ur_A
Vn_Ar_A1_S109	Vn	Ar	DT	Late Dry	Vn_Ar_A
Vt_Ur_A5_S96	Vt	Ur	DT	Late Dry	Vt_Ur_A
Vn_Ar_A2_S117	Vn	Ar	DT	Late Dry	Vn_Ar_A
Vt_Ur_A6_S97	Vt	Ur	DT	Late Dry	Vt_Ur_A
Vn_Ar_A3_S125	Vn	Ar	DT	Late Dry	Vn_Ar_A
Vt_S_S1_S98	Vt	S	DT	Early Rainy	Vt_S_S
Vt_S_S2_S99	Vt	S	DT	Early Rainy	Vt_S_S
Vn_Ar_A5_S136	Vn	Ar	DT	Late Dry	Vn_Ar_A
Vt_S_S3_S100	Vt	S	DT	Early Rainy	Vt_S_S
Vt_S_S4_S101	Vt	S	DT	Early Rainy	Vt_S_S
Vt_S_F2_S102	Vt	S	DT	Late Rainy	Vt_S_F
Vt_S_F3_S103	Vt	S	DT	Late Rainy	Vt_S_F
Vt_S_F4_S104	Vt	S	DT	Late Rainy	Vt_S_F
Vt_S_F5_S105	Vt	S	DT	Late Rainy	Vt_S_F
Vt_S_J1_S106	Vt	S	DT	Early Dry	Vt_S_J
Vt_S_J2_S107	Vt	S	DT	Early Dry	Vt_S_J
Vt_S_J4_S108	Vt	S	DT	Early Dry	Vt_S_J
Vt_S_J5_S109	Vt	S	DT	Early Dry	Vt_S_J
Vt_S_A1_S110	Vt	S	DT	Late Dry	Vt_S_A
Vt_S_A2_S111	Vt	S	DT	Late Dry	Vt_S_A
Vt_S_A3_S112	Vt	S	DT	Late Dry	Vt_S_A
Vt_S_A4_S113	Vt	S	DT	Late Dry	Vt_S_A
Vt_S_A5_S114	Vt	S	DT	Late Dry	Vt_S_A
Vi_Ur_S1_S115	Vi	Ur	NDT	Early Rainy	Vi_Ur_S
Vi_Ur_S2_S116	Vi	Ur	NDT	Early Rainy	Vi_Ur_S
Vi_Ur_S3_S117	Vi	Ur	NDT	Early Rainy	Vi_Ur_S
Vi_Ur_S4_S118	Vi	Ur	NDT	Early Rainy	Vi_Ur_S
Vi_Ur_F1_S119	Vi	Ur	NDT	Late Rainy	Vi_Ur_F
Vi_Ur_F2_S120	Vi	Ur	NDT	Late Rainy	Vi_Ur_F
Vi_Ur_F3_S121	Vi	Ur	NDT	Late Rainy	Vi_Ur_F
Vi_Ur_F4_S122	Vi	Ur	NDT	Late Rainy	Vi_Ur_F
Vi_Ur_F5_S123	Vi	Ur	NDT	Late Rainy	Vi_Ur_F
Vi_Ur_J1_S124	Vi	Ur	NDT	Early Dry	Vi_Ur_J
Vi_Ur_J2_S125	Vi	Ur	NDT	Early Dry	Vi_Ur_J
Vi_Ur_J3_S126	Vi	Ur	NDT	Early Dry	Vi_Ur_J
Vi_Ur_J4_S127	Vi	Ur	NDT	Early Dry	Vi_Ur_J
Vi_Ur_J5_S128	Vi	Ur	NDT	Early Dry	Vi_Ur_J
Vi_Ur_A1_S129	Vi	Ur	NDT	Late Dry	Vi_Ur_A
Vi_Ur_A2_S130	Vi	Ur	NDT	Late Dry	Vi_Ur_A
Vi_Ur_A3_S131	Vi	Ur	NDT	Late Dry	Vi_Ur_A
Vi_Ur_A4_S132	Vi	Ur	NDT	Late Dry	Vi_Ur_A
Vi_Ur_A5_S133	Vi	Ur	NDT	Late Dry	Vi_Ur_A
Vi_S_S1_S134	Vi	S	NDT	Early Rainy	Vi_S_S
Vi_S_S2_S135	Vi	S	NDT	Early Rainy	Vi_S_S
Vi_S_S3_S136	Vi	S	NDT	Early Rainy	Vi_S_S
Vi_S_S4_S137	Vi	S	NDT	Early Rainy	Vi_S_S
Vi_S_F1_S138	Vi	S	NDT	Late Rainy	Vi_S_F
Vi_S_F2_S139	Vi	S	NDT	Late Rainy	Vi_S_F
Vi_S_F3_S140	Vi	S	NDT	Late Rainy	Vi_S_F
Vi_S_F4_S141	Vi	S	NDT	Late Rainy	Vi_S_F
Vi_S_F5_S142	Vi	S	NDT	Late Rainy	Vi_S_F
Vi_S_J1_S143	Vi	S	NDT	Early Dry	Vi_S_J
Vi_S_J2_S144	Vi	S	NDT	Early Dry	Vi_S_J
Vi_S_J3_S145	Vi	S	NDT	Early Dry	Vi_S_J
Vi_S_J4_S146	Vi	S	NDT	Early Dry	Vi_S_J
Vi_S_J5_S147	Vi	S	NDT	Early Dry	Vi_S_J
Vi_S_A1_S148	Vi	S	NDT	Late Dry	Vi_S_A
Vi_S_A2_S149	Vi	S	NDT	Late Dry	Vi_S_A
Vi_S_A3_S150	Vi	S	NDT	Late Dry	Vi_S_A
Vi_S_A4_S151	Vi	S	NDT	Late Dry	Vi_S_A
Vi_S_A5_S152	Vi	S	NDT	Late Dry	Vi_S_A
Vn_Lb_S1_S153	Vn	Lb	DT	Early Rainy	Vn_Lb_S
Vn_Lb_S2_S154	Vn	Lb	DT	Early Rainy	Vn_Lb_S
Vn_Lb_S4_S155	Vn	Lb	DT	Early Rainy	Vn_Lb_S
Vn_Lb_S4_S156	Vn	Lb	DT	Early Rainy	Vn_Lb_S
Vn_Lb_S5_S157	Vn	Lb	DT	Early Rainy	Vn_Lb_S
Vn_Lb_F1_S158	Vn	Lb	DT	Late Rainy	Vn_Lb_F
Vn_Lb_F2_S159	Vn	Lb	DT	Late Rainy	Vn_Lb_F
Vn_Lb_F3_S160	Vn	Lb	DT	Late Rainy	Vn_Lb_F
Vn_Lb_F4_S161	Vn	Lb	DT	Late Rainy	Vn_Lb_F
Vn_Lb_F5_S162	Vn	Lb	DT	Late Rainy	Vn_Lb_F
Vn_Lb_J1_S163	Vn	Lb	DT	Early Dry	Vn_Lb_J
Vn_Lb_J2_S164	Vn	Lb	DT	Early Dry	Vn_Lb_J
Vn_Lb_J3_S165	Vn	Lb	DT	Early Dry	Vn_Lb_J
Vn_Lb_J4_S166	Vn	Lb	DT	Early Dry	Vn_Lb_J
Vn_Lb_J5_S167	Vn	Lb	DT	Early Dry	Vn_Lb_J
Vn_Lb_A1_S168	Vn	Lb	DT	Late Dry	Vn_Lb_A
Vn_Lb_A2_S169	Vn	Lb	DT	Late Dry	Vn_Lb_A
Vn_Lb_A3_S170	Vn	Lb	DT	Late Dry	Vn_Lb_A
Vn_Lb_A4_S171	Vn	Lb	DT	Late Dry	Vn_Lb_A
Vn_Lb_A5_S172	Vn	Lb	DT	Late Dry	Vn_Lb_A
Vt_Lb_S1_S173	Vt	Lb	DT	Early Rainy	Vt_Lb_S
Vt_Lb_S2_S174	Vt	Lb	DT	Early Rainy	Vt_Lb_S
Vt_Lb_S3_S175	Vt	Lb	DT	Early Rainy	Vt_Lb_S
Vt_Lb_S4_S176	Vt	Lb	DT	Early Rainy	Vt_Lb_S
Vt_Lb_S5_S177	Vt	Lb	DT	Early Rainy	Vt_Lb_S
Vt_Lb_F1_S178	Vt	Lb	DT	Late Rainy	Vt_Lb_F
Vt_Lb_F2_S179	Vt	Lb	DT	Late Rainy	Vt_Lb_F
Vt_Lb_F3_S180	Vt	Lb	DT	Late Rainy	Vt_Lb_F
Vt_Lb_F4_S181	Vt	Lb	DT	Late Rainy	Vt_Lb_F
Vt_Lb_F5_S182	Vt	Lb	DT	Late Rainy	Vt_Lb_F
Vt_Dsh_S1_S135	Vt	Dsh	DT	Early Rainy	Vt_Dsh_S
Vt_Lb_J1_S183	Vt	Lb	DT	Early Dry	Vt_Lb_J
Vt_Dsh_S2_S143	Vt	Dsh	DT	Early Rainy	Vt_Dsh_S
Vt_Lb_J2_S184	Vt	Lb	DT	Early Dry	Vt_Lb_J
Vt_Dsh_S3_S151	Vt	Dsh	DT	Early Rainy	Vt_Dsh_S
Vt_Lb_J3_S185	Vt	Lb	DT	Early Dry	Vt_Lb_J
Vt_Dsh_S4_S159	Vt	Dsh	DT	Early Rainy	Vt_Dsh_S
Vt_Lb_J4_S186	Vt	Lb	DT	Early Dry	Vt_Lb_J
Vt_Dsh_S5_S181	Vt	Dsh	DT	Early Rainy	Vt_Dsh_S
Vt_Lb_J5_S187	Vt	Lb	DT	Early Dry	Vt_Lb_J
Vt_Dsh_F1_S189	Vt	Dsh	DT	Late Rainy	Vt_Dsh_F
Vt_Lb_A1_S188	Vt	Lb	DT	Late Dry	Vt_Lb_A
Vt_Dsh_F2_S197	Vt	Dsh	DT	Late Rainy	Vt_Dsh_F
Vt_Lb_A2_S189	Vt	Lb	DT	Late Dry	Vt_Lb_A
Vt_Dsh_F3_S204	Vt	Dsh	DT	Late Rainy	Vt_Dsh_F
Vt_Lb_A3_S190	Vt	Lb	DT	Late Dry	Vt_Lb_A
Vt_Dsh_F4_S212	Vt	Dsh	DT	Late Rainy	Vt_Dsh_F
Vt_Lb_A4_S191	Vt	Lb	DT	Late Dry	Vt_Lb_A
Vt_Dsh_F5_S220	Vt	Dsh	DT	Late Rainy	Vt_Dsh_F
Vt_Lb_A5_S192	Vt	Lb	DT	Late Dry	Vt_Lb_A
Vt_Dsh_J1_S228	Vt	Dsh	DT	Early Dry	Vt_Dsh_J
Vt_Lb_A6_S193	Vt	Lb	DT	Late Dry	Vt_Lb_A
Vt_Dsh_J2_S236	Vt	Dsh	DT	Early Dry	Vt_Dsh_J
Vi_Lb_S1_S194	Vi	Lb	NDT	Early Rainy	Vi_Lb_S
Vi_Lb_S2_S195	Vi	Lb	NDT	Early Rainy	Vi_Lb_S
Vt_Dsh_J4_S252	Vt	Dsh	DT	Early Dry	Vt_Dsh_J
Vi_Lb_S3_S196	Vi	Lb	NDT	Early Rainy	Vi_Lb_S
Vi_Lb_S4_S197	Vi	Lb	NDT	Early Rainy	Vi_Lb_S
Vt_Dsh_A1_S265	Vt	Dsh	DT	Late Dry	Vt_Dsh_A
Vi_Lb_F1_S198	Vi	Lb	NDT	Late Rainy	Vi_Lb_F
Vt_Dsh_A2_S182	Vt	Dsh	DT	Late Dry	Vt_Dsh_A
Vi_Lb_F2_S199	Vi	Lb	NDT	Late Rainy	Vi_Lb_F
Vt_Dsh_A3_S190	Vt	Dsh	DT	Late Dry	Vt_Dsh_A
Vi_Lb_F3_S200	Vi	Lb	NDT	Late Rainy	Vi_Lb_F
Vt_Dsh_A4_S198	Vt	Dsh	DT	Late Dry	Vt_Dsh_A
Vi_Lb_F4_S201	Vi	Lb	NDT	Late Rainy	Vi_Lb_F
Vi_Lb_F5_S202	Vi	Lb	NDT	Late Rainy	Vi_Lb_F
Vt_Dsh_A6_S213	Vt	Dsh	DT	Late Dry	Vt_Dsh_A
Vi_Lb_J1_S203	Vi	Lb	NDT	Early Dry	Vi_Lb_J
Vi_Lb_J2_S204	Vi	Lb	NDT	Early Dry	Vi_Lb_J
Vi_Lb_J3_S205	Vi	Lb	NDT	Early Dry	Vi_Lb_J
Vi_Lb_J4_S206	Vi	Lb	NDT	Early Dry	Vi_Lb_J
Vi_Lb_J5_S207	Vi	Lb	NDT	Early Dry	Vi_Lb_J
Vi_Lb_A1_S208	Vi	Lb	NDT	Late Dry	Vi_Lb_A
Vi_Lb_A2_S209	Vi	Lb	NDT	Late Dry	Vi_Lb_A
Vi_Lb_A3_S210	Vi	Lb	NDT	Late Dry	Vi_Lb_A
Vi_Lb_A4_S211	Vi	Lb	NDT	Late Dry	Vi_Lb_A
Vi_Lb_A5_S212	Vi	Lb	NDT	Late Dry	Vi_Lb_A
Vp_Lb_S1_S213	Vp	Lb	NDT	Early Rainy	Vp_Lb_S
Vp_Lb_S2_S214	Vp	Lb	NDT	Early Rainy	Vp_Lb_S
Vp_Lb_S3_S215	Vp	Lb	NDT	Early Rainy	Vp_Lb_S
Vp_Lb_S4_S216	Vp	Lb	NDT	Early Rainy	Vp_Lb_S
Vp_Lb_S5_S217	Vp	Lb	NDT	Early Rainy	Vp_Lb_S
Vp_Lb_F1_S218	Vp	Lb	NDT	Late Rainy	Vp_Lb_F
Vp_Lb_F2_S219	Vp	Lb	NDT	Late Rainy	Vp_Lb_F
Vp_Lb_F3_S220	Vp	Lb	NDT	Late Rainy	Vp_Lb_F
Vp_Lb_F4_S221	Vp	Lb	NDT	Late Rainy	Vp_Lb_F
Vp_Lb_F5_S222	Vp	Lb	NDT	Late Rainy	Vp_Lb_F
Vp_Lb_J1_S223	Vp	Lb	NDT	Early Dry	Vp_Lb_J
Vp_Lb_J2_S224	Vp	Lb	NDT	Early Dry	Vp_Lb_J
Vp_Lb_J3_S225	Vp	Lb	NDT	Early Dry	Vp_Lb_J
Vt_Ar_S2_S207	Vt	Ar	DT	Early Rainy	Vt_Ar_S
Vp_Lb_J4_S226	Vp	Lb	NDT	Early Dry	Vp_Lb_J
Vt_Ar_S3_S215	Vt	Ar	DT	Early Rainy	Vt_Ar_S
Vp_Lb_J5_S227	Vp	Lb	NDT	Early Dry	Vp_Lb_J
Vt_Ar_S4_S223	Vt	Ar	DT	Early Rainy	Vt_Ar_S
Vp_Lb_A1_S228	Vp	Lb	NDT	Late Dry	Vp_Lb_A
Vt_Ar_S5_S231	Vt	Ar	DT	Early Rainy	Vt_Ar_S
Vp_Lb_A2_S229	Vp	Lb	NDT	Late Dry	Vp_Lb_A
Vt_Ar_F1_S239	Vt	Ar	DT	Late Rainy	Vt_Ar_F
Vp_Lb_A3_S230	Vp	Lb	NDT	Late Dry	Vp_Lb_A
Vt_Ar_F2_S247	Vt	Ar	DT	Late Rainy	Vt_Ar_F
Vp_Lb_A4_S231	Vp	Lb	NDT	Late Dry	Vp_Lb_A
Vt_Ar_F3_S255	Vt	Ar	DT	Late Rainy	Vt_Ar_F
Vp_Lb_A5_S232	Vp	Lb	NDT	Late Dry	Vp_Lb_A
Vt_Ar_F4_S261	Vt	Ar	DT	Late Rainy	Vt_Ar_F
Vt_Ar_F5_S268	Vt	Ar	DT	Late Rainy	Vt_Ar_F
Vt_Ar_J1_S185	Vt	Ar	DT	Early Dry	Vt_Ar_J
Vt_Ar_J2_S193	Vt	Ar	DT	Early Dry	Vt_Ar_J
Vt_Ar_J4_S208	Vt	Ar	DT	Early Dry	Vt_Ar_J
Vt_Ar_J5_S216	Vt	Ar	DT	Early Dry	Vt_Ar_J
Vt_Ar_A1_S224	Vt	Ar	DT	Late Dry	Vt_Ar_A
Vt_Ar_A2_S232	Vt	Ar	DT	Late Dry	Vt_Ar_A
Vt_Ar_A3_S240	Vt	Ar	DT	Late Dry	Vt_Ar_A
Vt_Ar_A4_S248	Vt	Ar	DT	Late Dry	Vt_Ar_A
Vt_Ar_A5_S256	Vt	Ar	DT	Late Dry	Vt_Ar_A
Vt_Ar_A6_S262	Vt	Ar	DT	Late Dry	Vt_Ar_A
Vi_Dsh_S1_S71	Vi	Dsh	NDT	Early Rainy	Vi_Dsh_S
Vi_Dsh_S2_S79	Vi	Dsh	NDT	Early Rainy	Vi_Dsh_S
Vi_Dsh_S4_S86	Vi	Dsh	NDT	Early Rainy	Vi_Dsh_S
Vi_Dsh_F2_S5	Vi	Dsh	NDT	Late Rainy	Vi_Dsh_F
Vi_Dsh_F4_S19	Vi	Dsh	NDT	Late Rainy	Vi_Dsh_F
Vi_Dsh_F5_S27	Vi	Dsh	NDT	Late Rainy	Vi_Dsh_F
Vi_Dsh_J1_S35	Vi	Dsh	NDT	Early Dry	Vi_Dsh_J
Vi_Dsh_J2_S43	Vi	Dsh	NDT	Early Dry	Vi_Dsh_J
Vi_Dsh_J3_S51	Vi	Dsh	NDT	Early Dry	Vi_Dsh_J
Vi_Dsh_J4_S58	Vi	Dsh	NDT	Early Dry	Vi_Dsh_J
Vi_Dsh_A1_S72	Vi	Dsh	NDT	Late Dry	Vi_Dsh_A
Vi_Dsh_A2_S80	Vi	Dsh	NDT	Late Dry	Vi_Dsh_A
Vi_Dsh_A3_S87	Vi	Dsh	NDT	Late Dry	Vi_Dsh_A
Vi_Dsh_A4_S6	Vi	Dsh	NDT	Late Dry	Vi_Dsh_A
Vi_Ar_S1_S74	Vi	Ar	NDT	Early Rainy	Vi_Ar_S
Vi_Ar_S2_S81	Vi	Ar	NDT	Early Rainy	Vi_Ar_S
Vi_Ar_S3_S89	Vi	Ar	NDT	Early Rainy	Vi_Ar_S
Vi_Ar_S4_S8	Vi	Ar	NDT	Early Rainy	Vi_Ar_S
Vi_Ar_F1_S14	Vi	Ar	NDT	Late Rainy	Vi_Ar_F
Vi_Ar_F2_S22	Vi	Ar	NDT	Late Rainy	Vi_Ar_F
Vi_Ar_F3_S30	Vi	Ar	NDT	Late Rainy	Vi_Ar_F
Vi_Ar_F4_S38	Vi	Ar	NDT	Late Rainy	Vi_Ar_F
Vi_Ar_F5_S46	Vi	Ar	NDT	Late Rainy	Vi_Ar_F
Vi_Ar_J1_S75	Vi	Ar	NDT	Early Dry	Vi_Ar_J
Vi_Ar_J2_S82	Vi	Ar	NDT	Early Dry	Vi_Ar_J
Vi_Ar_J3_S90	Vi	Ar	NDT	Early Dry	Vi_Ar_J
Vi_Ar_J4_S91	Vi	Ar	NDT	Early Dry	Vi_Ar_J
Vi_Ar_J5_S99	Vi	Ar	NDT	Early Dry	Vi_Ar_J
Vi_Ar_A1_S107	Vi	Ar	NDT	Late Dry	Vi_Ar_A
Vi_Ar_A2_S115	Vi	Ar	NDT	Late Dry	Vi_Ar_A
Vi_Ar_A3_S123	Vi	Ar	NDT	Late Dry	Vi_Ar_A
Vi_Ar_A5_S134	Vi	Ar	NDT	Late Dry	Vi_Ar_A
Vp_Dsh_S1_S106	Vp	Dsh	NDT	Early Rainy	Vp_Dsh_S
